4-HYDROXYPHENYLPYRUVATE_BIOSYNTHESIS	4-hydroxyphenylpyruvate biosynthesis	AT5G51690,AT5G53970,AT1G62960
FOLATE_POLYGLUTAMYLATION_II	folate polyglutamylation II	AT5G05980,AT1G78660,AT3G55630,AT3G10160,AT1G78680
FOLATE_TRANSFORMATIONS	folate transformations	AT5G20980,AT2G44160,AT3G59970,AT1G22020,AT4G37930,AT5G13050,AT4G13890,AT2G35370,AT4G32520,AT4G13930,AT3G12290,AT4G00620,AT5G26780,AT1G50480,AT2G38660,AT4G00600,AT2G12280,AT1G36370,AT2G12200,AT2G35120
TETRAHYDROFOLATE_BIOSYNTHESIS_II	tetrahydrofolate biosynthesis II	AT4G34570,AT2G21550,AT5G05980,AT3G11750,AT5G41480,AT2G28880,AT2G16370,AT4G30000,AT1G69190,AT3G55630,AT1G68760,AT3G07270,AT3G10160,AT5G57850,AT1G50480
FORMYLTHF_BIOSYNTHESIS_II	formylTHF biosynthesis II	AT4G34570,AT5G20980,AT2G44160,AT3G59970,AT5G05980,AT2G21550,AT5G41480,AT1G22020,AT4G37930,AT2G16370,AT5G13050,AT3G55630,AT4G13890,AT2G35370,AT4G32520,AT3G10160,AT4G13930,AT3G12290,AT5G26780,AT4G00620,AT1G50480,AT2G38660,AT4G00600,AT2G12280,AT1G36370,AT2G12200,AT2G35120
THIAMINE_BIOSYNTHESIS_II	thiamine biosynthesis II	AT2G29630,AT1G22940,AT1G02880,AT5G19460,AT5G19470,AT2G44750,AT5G54770
PYRIDOXAL_5'-PHOSPHATE_SALVAGE_PATHWAY	pyridoxal 5'-phosphate salvage pathway	AT5G37850,AT5G49970
PYRIDOXAL_5'-PHOSPHATE_BIOSYNTHESIS_II	pyridoxal 5'-phosphate biosynthesis II	AT2G38230,AT5G60540
ETHYLENE_BIOSYNTHESIS_FROM_METHIONINE	ethylene biosynthesis from methionine	AT4G26200,AT4G08040,AT1G62380,AT2G36880,AT2G22810,AT1G12010,AT4G11280,AT4G01850,AT5G65800,AT1G05010,AT2G19590,AT1G02500,AT3G49700,AT1G01480,AT3G17390,AT1G77330,AT4G37770
ALDEHYDE_OXIDATION_I	aldehyde oxidation I	AT5G20960,AT3G43600,AT2G27150,AT1G04580
ABSCISIC_ACID_BIOSYNTHESIS	abscisic acid biosynthesis	AT1G52340,AT2G44990,AT4G18350,AT3G14440,AT1G67080,AT3G24220,AT1G78390,AT2G27150,AT3G63520,AT1G30100
PHASEIC_ACID_BIOSYNTHESIS	phaseic acid biosynthesis	AT2G29090,AT3G19270,AT5G45340,AT4G19230
ABSCISIC_ACID_GLUCOSE_ESTER_BIOSYNTHESIS	abscisic acid glucose ester biosynthesis	AT2G29740,AT3G21790,AT2G23260,AT1G07260,AT2G30150,AT2G29730,AT5G49690,AT2G29710,AT1G07250,AT2G29750,AT3G21800,AT3G21760,AT4G15260,AT1G07240,AT2G31750,AT3G02100,AT2G23210,AT4G15270,AT4G34138,AT2G22590,AT4G34135,AT1G05530,AT3G21780,AT4G15550,AT4G15280,AT2G23250,AT1G05560
IAA_BIOSYNTHESIS_II	IAA biosynthesis II	AT5G56650,AT5G54140,AT1G51780,AT1G44350,AT5G56660,AT3G02875,AT1G51760
IAA_BIOSYNTHESIS_I	IAA biosynthesis I	AT1G04180,AT5G42590,AT2G22330,AT5G43890,AT2G30770,AT4G39950,AT4G13310,AT3G44300,AT1G70560,AT4G32540,AT5G07360,AT1G11610,AT1G08980,AT5G24950,AT5G20960,AT4G13260,AT1G04610,AT1G23320,AT4G13290,AT2G27150,AT5G22300,AT5G11320,AT2G30750,AT5G24960,AT3G44320,AT3G44310
IAA_BIOSYNTHESIS_VII	IAA biosynthesis VII	AT4G14430,AT3G06810,AT4G05530
INDOLE-3-ACETYL-AMINO_ACID_BIOSYNTHESIS	indole-3-acetyl-amino acid biosynthesis	AT5G54510,AT4G27260,AT1G59500,AT2G23170,AT4G37390,AT1G28130
METHYL_INDOLE-3-ACETATE_INTERCONVERSION	methyl indole-3-acetate interconversion	AT5G58310,AT3G10870,AT2G23610,AT4G16690,AT4G37150,AT2G23620,AT2G23600,AT2G23560,AT5G55250
BRASSINOSTEROID_BIOSYNTHESIS_II	brassinosteroid biosynthesis II	AT4G36380,SAX1,AT2G38050,AT3G50660,AT3G13730,AT5G05690
BRASSINOSTEROID_BIOSYNTHESIS_III	brassinosteroid biosynthesis III	AT2G38050
BRASSINOSTEROID_BIOSYNTHESIS_I	brassinosteroid biosynthesis I	AT4G36380,AT2G38050,AT3G30180,AT3G50660,AT3G13730,AT5G38970,AT5G05690
TRANS-ZEATIN_BIOSYNTHESIS	trans-zeatin biosynthesis	AT3G19160,AT5G38450,AT5G19040,AT3G23630,AT1G68460,AT4G24650,AT1G67110,AT1G25410,AT3G63110
CIS-ZEATIN_BIOSYNTHESIS	cis-zeatin biosynthesis	AT2G27760
CYTOKININS_7-N-GLUCOSIDE_BIOSYNTHESIS	cytokinins 7-N-glucoside biosynthesis	AT2G36800,AT5G58600,AT2G36750,AT5G05870
CYTOKININS_9-N-GLUCOSIDE_BIOSYNTHESIS	cytokinins 9-N-glucoside biosynthesis	AT2G36800,AT5G58600,AT2G36750,AT5G05870
CYTOKININS-O-GLUCOSIDE_BIOSYNTHESIS	cytokinins-O-glucoside biosynthesis	AT2G36800,AT2G28080,AT3G53150,AT1G22400,AT3G22250,AT3G53160,AT2G36760,AT3G46660,AT2G36790,AT2G36970,AT2G36770,AT5G37950,AT5G05860,AT2G36750,AT5G38010,AT1G22340,AT1G22380,AT5G65550,AT1G78270,AT2G36780,AT1G22370,AT5G12890,AT2G30140,AT5G05870,AT1G22360,AT1G10400
ENT-KAURENE_BIOSYNTHESIS	ent-kaurene biosynthesis	AT4G02780,AT1G79460
GA12_BIOSYNTHESIS	GA12 biosynthesis	AT1G05160,AT5G25900,AT2G32440
GIBBERELLIN_BIOSYNTHESIS_III_	gibberellin biosynthesis III (early C-13 hydroxylation)	AT1G80340,AT5G51810,AT1G80330,AT1G15550,AT1G60980,AT5G07200,AT4G25420
GIBBERELLIN_BIOSYNTHESIS_II_	gibberellin biosynthesis II (early C-3 hydroxylation)	AT1G80340,AT5G51810,AT1G80330,AT1G15550,AT1G60980,AT5G07200,AT4G25420
GIBBERELLIN_BIOSYNTHESIS_I_	gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)	AT1G80340,AT5G51810,AT1G80330,AT1G15550,AT1G60980,AT5G07200,AT1G44090,AT4G25420
JASMONOYL-AMINO_ACID_CONJUGATES_BIOSYNTHESIS_I	jasmonoyl-amino acid conjugates biosynthesis I	AT2G46370
HYDROXYJASMONATE_SULFATE_BIOSYNTHESIS	hydroxyjasmonate sulfate biosynthesis	AT5G07010
JASMONIC_ACID_BIOSYNTHESIS	jasmonic acid biosynthesis	AT1G72520,AT3G22400,AT1G55020,AT2G06050,AT1G67560,AT4G16760,AT5G48880,AT2G35690,AT3G25780,AT3G25770,AT1G76680,AT5G42650,AT3G25760,AT1G20510,AT2G33150,AT4G29010,AT1G17420,AT1G13280,AT1G04710,AT3G45140
GLYCOLIPID_BIOSYNTHESIS	glycolipid biosynthesis	AT5G20410,AT3G11670,AT4G00550,AT4G31780,AT2G11810
SPHINGOLIPID_BIOSYNTHESIS_	sphingolipid biosynthesis (plants)	AT2G37940,AT1G66030,AT4G39490,AT1G57750,AT4G21540,AT2G34770,AT1G14290,AT4G36480,AT3G48780,AT4G20870,AT3G48790,AT5G23670,AT2G45970,AT3G58490,AT4G04930,AT2G27690,AT1G69640,AT5G51290,AT3G61580
ACYL-ACP_THIOESTERASE_PATHWAY	acyl-ACP thioesterase pathway	AT1G08510,AT3G25110
FATTY_ACID_ACTIVATION	fatty acid activation	AT1G62940,AT1G64400,AT1G49430,AT4G23850,AT2G04350,AT5G27600,AT3G05970,AT2G47240,AT4G11030,AT1G77590
ACYL-COA_HYDROLYSIS	acyl-CoA hydrolysis	AT4G17483,AT1G01710,AT4G17480,AT5G48370,AT1G48320,AT5G47340,AT2G30720,AT5G47350,AT5G47330,AT4G17470,AT4G00520,AT1G68890
GLYCOLIPID_DESATURATION	glycolipid desaturation	AT3G11170,AT1G06100,AT4G30950,AT1G06080,AT1G06360,AT3G15870,AT5G05580,AT2G31360,AT3G15850,AT1G06350,AT1G06120,AT1G06090
SULFOLIPID_BIOSYNTHESIS	sulfolipid biosynthesis	AT4G33030,AT5G01220
TRIACYLGLYCEROL_BIOSYNTHESIS	triacylglycerol biosynthesis	AT1G06520,AT4G00400,AT4G30580,AT1G63050,AT3G11430,AT5G06090,AT1G75020,AT1G15080,AT3G02600,AT3G11325,AT5G13640,AT3G44830,AT2G38110,AT4G01950,AT4G24160,AT3G18220,AT1G01610,AT5G60620,AT3G18850,AT1G12640,AT2G19450,AT1G51260,AT3G57650,AT5G37300,AT1G32200,AT1G02390,AT3G51520,AT2G01180
CHOLINE_BIOSYNTHESIS_I	choline biosynthesis I	AT1G43710,AT1G74320,AT1G48600,AT3G18000,AT1G73600,AT2G26830
CHOLINE_BIOSYNTHESIS_III	choline biosynthesis III	AT1G52570,AT3G05630,AT1G13560,AT3G16785,AT4G35790,AT4G11850,AT3G25585,AT4G15130,AT4G11830,AT1G55180,AT4G00240,AT4G11840,AT2G42010,AT5G25370,AT3G15730,AT2G32260
FATTY_ACID_ELONGATION_--_SATURATED	fatty acid elongation -- saturated	AT2G22230,AT1G24360,AT2G05990,AT5G46290,AT2G04540,AT1G74960
FATTY_ACID_BIOSYNTHESIS_INITIATION_I	fatty acid biosynthesis initiation I	ATCG00500,AT1G36180,AT1G36160,AT5G16390,AT2G30200,AT2G38040,AT5G35360,AT1G62640
VERY_LONG_CHAIN_FATTY_ACID_BIOSYNTHESIS	very long chain fatty acid biosynthesis	AT1G19440,AT1G68530,AT1G25450,AT4G16210,AT5G10480,AT4G16800,AT2G26640,AT3G06860,AT3G10280,AT2G46720,AT1G67730,AT4G34520,AT1G76150,AT5G43760,AT4G29010,AT2G16280,AT4G34250,AT4G34510,AT2G15090,AT1G01120,AT1G04220,AT3G55360
CIS-VACCENATE_BIOSYNTHESIS	cis-vaccenate biosynthesis	AT1G24360,AT2G22230
POLY-HYDROXY_FATTY_ACIDS_BIOSYNTHESIS	poly-hydroxy fatty acids biosynthesis	AT5G04660
LINOLEATE_BIOSYNTHESIS_I_	linoleate biosynthesis I (plants)	AT4G30950,AT1G64400,AT1G49430,AT4G23850,AT2G04350,AT5G27600,AT3G05970,AT2G47240,AT4G11030,AT1G77590,AT3G12120
OLEATE_BIOSYNTHESIS_I_	oleate biosynthesis I (plants)	AT1G43800,AT3G02620,AT3G02630,AT3G02610,AT5G16240,AT2G43710,AT1G08510,AT5G16230,AT3G25110
PALMITATE_BIOSYNTHESIS_II_	palmitate biosynthesis II (bacteria and plants)	AT1G24360,AT2G22230,AT1G08510,AT5G46290,AT2G04540,AT3G25110,AT1G74960
STEARATE_BIOSYNTHESIS_II_	stearate biosynthesis II (plants)	AT1G24360,AT2G22230,AT1G08510,AT5G46290,AT2G04540,AT3G25110,AT1G74960
PHOSPHOLIPID_DESATURATION	phospholipid desaturation	AT3G11170,AT4G30950,AT4G27030,AT5G05580,AT3G12120,AT2G29980
CDP-DIACYLGLYCEROL_BIOSYNTHESIS_I	CDP-diacylglycerol biosynthesis I	AT4G00400,AT1G06520,AT3G60620,AT4G30580,AT1G63050,AT3G11430,AT5G06090,AT1G75020,AT3G11325,AT4G22340,AT1G62430,AT2G45150,AT4G26770,AT4G01950,AT4G24160,AT2G38110,AT5G60620,AT3G18850,AT1G01610,AT1G12640,AT1G51260,AT3G57650,AT1G02390,AT1G32200
CDP-DIACYLGLYCEROL_BIOSYNTHESIS_II	CDP-diacylglycerol biosynthesis II	AT1G06520,AT4G00400,AT3G60620,AT4G30580,AT1G63050,AT3G11430,AT5G06090,AT1G75020,AT3G11325,AT4G22340,AT1G62430,AT2G45150,AT4G26770,AT2G38110,AT4G01950,AT4G24160,AT1G01610,AT5G60620,AT3G18850,AT1G12640,AT1G51260,AT3G57650,AT1G02390,AT1G32200
CARDIOLIPIN_BIOSYNTHESIS_II	cardiolipin biosynthesis II	AT2G39290,AT3G55030,AT4G04870
PHOSPHATIDYLCHOLINE_BIOSYNTHESIS_I	phosphatidylcholine biosynthesis I	AT1G13560,AT3G25585,AT4G15130,AT4G09760,AT1G71697,AT2G32260
PHOSPHATIDYLCHOLINE_BIOSYNTHESIS_II	phosphatidylcholine biosynthesis II	AT1G13560,AT1G48600,AT3G18000,AT1G73600,AT3G25585,AT4G15130,AT2G32260
PHOSPHATIDYLCHOLINE_BIOSYNTHESIS_III	phosphatidylcholine biosynthesis III	AT1G48600,AT1G73600,AT3G18000,AT1G80860
PHOSPHATIDYLCHOLINE_BIOSYNTHESIS_IV	phosphatidylcholine biosynthesis IV	AT1G48600,AT3G18000,AT1G73600,AT1G80860
PHOSPHATIDYLETHANOLAMINE_BIOSYNTHESIS_I	phosphatidylethanolamine biosynthesis I	AT4G25970,AT4G16700,AT1G15110,AT5G57190
PHOSPHATIDYLETHANOLAMINE_BIOSYNTHESIS_II	phosphatidylethanolamine biosynthesis II	AT1G74320,AT1G13560,AT3G25585,AT2G38670,AT2G26830
LANOSTEROL_BIOSYNTHESIS	lanosterol biosynthesis	AT3G45130
5-AMINOIMIDAZOLE_RIBONUCLEOTIDE_BIOSYNTHESIS_I	5-aminoimidazole ribonucleotide biosynthesis I	AT1G66520,AT2G16570,AT4G17360,AT1G74260,AT4G34740,AT1G09830,AT3G55010,AT5G47435,AT4G38880,AT1G31220
PURINE_NUCLEOTIDE_METABOLISM_	purine nucleotide metabolism (phosphotransfer and nucleotide modification)	AT3G57550,AT5G40942,AT5G60340,AT1G79470,AT1G16350,AT4G18440,AT1G36280,AT5G63400,AT5G50370,AT3G57610,AT3G01820,AT2G37250,AT2G21790,AT3G27060,AT4G23900,AT4G11010,AT3G23580,AT1G63660,AT5G47840,AT5G35170,AT2G41880,AT1G17410,AT5G63310,AT2G39270,AT4G09320
INOSINE-5'-PHOSPHATE_BIOSYNTHESIS_II	inosine-5'-phosphate biosynthesis II	AT2G35040,AT1G36280,AT4G18440,AT2G37690,AT3G21110
ADENINE_AND_ADENOSINE_SALVAGE_II	adenine and adenosine salvage II	AT4G22570,AT5G18860,AT1G27450,AT5G11160,AT4G12440,AT1G80050,AT2G36310
ADENINE_AND_ADENOSINE_SALVAGE_VI	adenine and adenosine salvage VI	AT4G27600,AT5G03300,AT3G09820,AT1G19600
GUANINE_AND_GUANOSINE_SALVAGE_II	guanine and guanosine salvage II	AT1G71750
PYRIMIDINE_RIBONUCLEOTIDES_INTERCONVERSION	pyrimidine ribonucleotides interconversion	AT1G14230,AT3G18680,AT1G08520,AT4G02120,AT4G25280,AT4G23900,AT4G20320,AT4G11010,AT2G34890,AT3G12670,AT1G30820,AT1G17410,AT4G19180,AT3G60961,AT5G63310,AT4G09320,AT1G14250,AT5G26667,AT3G60180
PYRIMIDINE_SALVAGE_PATHWAY	pyrimidine salvage pathway	AT1G55810,AT3G27440,AT3G27190,AT1G26190,AT5G40870,AT3G53900,AT4G26510,AT1G73980,AT2G36310
PYRIMIDINE_DEOXYRIBONUCLEOTIDES_DE_NOVO_BIOSYNTHESIS	pyrimidine deoxyribonucleotides de novo biosynthesis	AT4G34570,AT5G40942,AT2G21550,AT2G16370,AT5G59440,AT2G21790,AT3G27060,AT4G23900,AT4G11010,AT3G23580,AT1G17410,AT3G46940,AT5G63310,AT4G09320
URIDINE-5'-PHOSPHATE_BIOSYNTHESIS	uridine-5'-phosphate biosynthesis	AT3G54470,AT5G23300,AT3G20330,AT3G27740,AT1G29900,AT4G22930
EPOXYSQUALENE_BIOSYNTHESIS	epoxysqualene biosynthesis	AT1G58440,AT5G24150,AT5G24140,AT2G22830,AT4G34650,AT4G34640,AT4G37760,AT5G24160
PRPP_BIOSYNTHESIS_I	PRPP biosynthesis I	AT1G32380,AT1G10700,AT2G44530,AT2G42910,AT2G35390
SPERMINE_BIOSYNTHESIS	spermine biosynthesis	AT5G53120,AT5G18930,AT3G25570,AT5G19530,AT3G02470,AT5G15950
URATE_BIOSYNTHESIS	urate biosynthesis	AT3G04390,AT4G34890,AT1G79470,AT1G16350,AT4G34900,AT1G02590
GLYCINE_BETAINE_BIOSYNTHESIS_III_	glycine betaine biosynthesis III (plants)	AT1G74920,AT3G48170
PUTRESCINE_BIOSYNTHESIS_I	putrescine biosynthesis I	AT4G08900,AT2G16500,AT4G34710,AT4G08870
PUTRESCINE_BIOSYNTHESIS_II	putrescine biosynthesis II	AT5G08170,AT2G27450,AT2G16500,AT4G34710
PUTRESCINE_BIOSYNTHESIS_IV	putrescine biosynthesis IV	AT4G08900,AT2G16500,AT4G34710,AT4G08870
SPERMIDINE_BIOSYNTHESIS	spermidine biosynthesis	AT5G53120,AT1G70310,AT5G18930,AT3G25570,AT1G23820,AT3G02470,AT5G15950
UDP-N-ACETYL-D-GLUCOSAMINE_BIOSYNTHESIS_II	UDP-N-acetyl-D-glucosamine biosynthesis II	AT3G24090,AT2G35020,AT5G15770,AT1G31070,AT5G18070
PHENYLETHANOL_BIOSYNTHESIS	phenylethanol biosynthesis	AT1G43710,AT5G19440,AT1G51410
13-LOX_AND_13-HPL_PATHWAY	13-LOX and 13-HPL pathway	AT1G72520,AT3G22400,AT1G55020,AT1G67560,AT4G15440,AT1G17420,AT3G45140
HYDROXYCINNAMIC_ACID_TYRAMINE_AMIDES_BIOSYNTHESIS	hydroxycinnamic acid tyramine amides biosynthesis	AT2G20340,AT4G28680
SPERMIDINE_HYDROXYCINNAMIC_ACID_CONJUGATES_BIOSYNTHESIS	spermidine hydroxycinnamic acid conjugates biosynthesis	AT1G67990,AT2G19070,AT1G74550,AT1G74540
GLUCOSINOLATE_BIOSYNTHESIS_FROM_HOMOMETHIONINE	glucosinolate biosynthesis from homomethionine	AT4G03050,AT1G62540,AT4G03060,AT1G65860,AT1G62570,AT1G62560,AT1G12200,AT4G13770,AT1G74100,AT1G74090,AT1G16410,AT1G16400,AT1G24100,AT1G18590,AT2G20610
GLUCOSINOLATE_BIOSYNTHESIS_FROM_PHENYLALANINE	glucosinolate biosynthesis from phenylalanine	AT5G05260,AT5G35917,AT4G31500,AT4G13770,AT1G74100,AT1G74090,AT4G30530,AT1G24100,AT1G18590,AT2G20610
GLUCOSINOLATE_BIOSYNTHESIS_FROM_TRYPTOPHAN	glucosinolate biosynthesis from tryptophan	AT2G22330,AT4G39950,AT4G31500,AT1G21120,AT1G74100,AT1G74090,AT5G57220,AT1G21100,AT4G37430,AT1G24100,AT4G37410,AT1G18590,AT4G37400,AT2G20610
ALIPHATIC_GLUCOSINOLATE_BIOSYNTHESIS_SIDE_CHAIN_ELONGATION_CYCLE	aliphatic glucosinolate biosynthesis, side chain elongation cycle	AT5G23020,AT5G23010,AT4G13430,AT2G43100,AT5G14200
GLUCOSINOLATE_BIOSYNTHESIS_FROM_DIHOMOMETHIONINE	glucosinolate biosynthesis from dihomomethionine	AT1G62540,AT4G03060,AT1G65860,AT1G62570,AT1G62560,AT1G12200,AT4G13770,AT1G74100,AT1G74090,AT1G16410,AT3G49680,AT2G25450,AT1G24100,AT1G18590,AT2G20610
GLUCOSINOLATE_BIOSYNTHESIS_FROM_TRIHOMOMETHIONINE	glucosinolate biosynthesis from trihomomethionine	AT1G62540,AT1G65860,AT1G62570,AT1G62560,AT1G12200,AT4G13770,AT1G74100,AT1G74090,AT1G16410,AT1G24100,AT1G18590,AT2G20610
GLUCOSINOLATE_BIOSYNTHESIS_FROM_TETRAHOMOMETHIONINE	glucosinolate biosynthesis from tetrahomomethionine	AT1G62540,AT1G65860,AT1G62570,AT1G62560,AT1G12200,AT4G13770,AT1G74100,AT1G74090,AT1G16410,AT1G24100,AT1G18590,AT2G20610
GLUCOSINOLATE_BIOSYNTHESIS_FROM_PENTAHOMOMETHIONINE	glucosinolate biosynthesis from pentahomomethionine	AT1G62540,AT1G65860,AT1G62570,AT1G62560,AT1G12200,AT1G12140,AT4G13770,AT1G74100,AT1G74090,AT1G16410,AT1G16400,AT1G24100,AT1G18590,AT2G20610
GLUCOSINOLATE_BIOSYNTHESIS_FROM_HEXAHOMOMETHIONINE	glucosinolate biosynthesis from hexahomomethionine	AT1G62540,AT1G65860,AT1G62570,AT1G62560,AT1G12200,AT1G12140,AT4G13770,AT1G74100,AT1G74090,AT1G16410,AT1G16400,AT1G24100,AT1G18590,AT2G20610
BENZOATE_BIOSYNTHESIS_II_	benzoate biosynthesis II (CoA-independent, non-beta;-oxidative)	AT2G37040,AT3G10340,AT3G53260,AT5G04230,AT1G04580
VOLATILE_BENZENOID_ESTER_BIOSYNTHESIS	volatile benzenoid ester biosynthesis	AT3G11480
FREE_PHENYLPROPANOID_ACID_BIOSYNTHESIS	free phenylpropanoid acid biosynthesis	AT5G54160,AT5G04330,AT2G40890,AT4G36220
SINAPATE_ESTER_BIOSYNTHESIS	sinapate ester biosynthesis	AT4G15490,AT4G15480,AT4G15500,AT5G09640,AT3G21560,AT2G22990,AT2G23010
FERULATE_AND_SINAPATE_BIOSYNTHESIS	ferulate and sinapate biosynthesis	AT3G24503,AT1G23800,AT3G48000,AT5G04330,AT4G36220
PHENYLPROPANOID_BIOSYNTHESIS_INITIAL_REACTIONS	phenylpropanoid biosynthesis, initial reactions	AT2G37040,AT3G10340,AT3G53260,AT5G04230,AT2G30490
SIMPLE_COUMARINS_BIOSYNTHESIS	simple coumarins biosynthesis	AT1G51680,AT5G41040,AT1G65060,AT5G48930,AT3G21230,AT3G48720,AT3G21240,AT5G63560,AT5G54160,AT2G40890
SCOPOLETIN_BIOSYNTHESIS	scopoletin biosynthesis	AT1G51680,AT1G65060,AT1G67980,AT1G67990,AT3G21230,AT3G13610,AT4G34050,AT1G24735,AT3G21240,AT4G26220
FLAVONOID_BIOSYNTHESIS	flavonoid biosynthesis	AT1G51680,AT3G19000,AT5G66220,AT2G38240,AT2G06960,AT4G25310,AT1G65060,AT1G17010,AT1G17020,AT4G16330,AT2G36690,AT1G49390,AT3G21230,AT4G25300,AT5G54000,AT3G19010,AT4G22870,AT3G55970,AT5G24530,AT3G21240,AT3G51240,AT4G10500,AT5G07480,AT1G78550,AT4G10490,AT5G05600,AT5G20400,AT3G60290,AT3G55120,AT3G21420,AT3G11180,AT5G20550,AT5G13930
ANTHOCYANIN_BIOSYNTHESIS_	anthocyanin biosynthesis (pelargonidin 3-O-glucoside, cyanidin 3-O-glucoside)	AT5G17030,AT5G17050,AT5G17040,AT4G22880
PELARGONIDIN_CONJUGATES_BIOSYNTHESIS	pelargonidin conjugates biosynthesis	AT4G14090
SUPERPATHWAY_OF_ANTHOCYANIN_BIOSYNTHESIS_	superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-O-glucoside)	AT5G17030,AT5G17050,AT4G14090,AT5G17040
LUTEOLIN_BIOSYNTHESIS	luteolin biosynthesis	AT2G45560,AT3G61880,AT5G07990
FLAVONOL_BIOSYNTHESIS	flavonol biosynthesis	AT5G43935,AT5G63590,AT3G46490,AT5G63580,AT3G49630,AT4G16765,AT2G45560,AT3G61880,AT3G50210,AT5G08640,AT5G63595,AT5G07990,AT3G46480,AT1G35190,AT3G49620,AT5G63600,AT4G16770,AT4G22880
KAEMPFEROL_GLUCOSIDE_BIOSYNTHESIS_	kaempferol glucoside biosynthesis (Arabidopsis)	AT5G17050,AT2G36790,AT4G34138,AT4G01070,AT4G34135,AT1G06000,AT1G30530
QUERCETIN_GLUCOSIDE_BIOSYNTHESIS_	quercetin glucoside biosynthesis (Arabidopsis)	AT1G64910,AT2G36800,AT2G29740,AT5G17030,AT2G23260,AT1G07260,AT2G15490,AT5G53990,AT5G59590,AT2G29730,AT1G07250,AT2G29750,AT4G09500,AT3G21800,AT2G26480,AT5G17050,AT3G46660,AT5G54010,AT2G36790,AT1G07240,AT2G43840,AT1G50580,AT1G73880,AT4G27570,AT2G22930,AT5G59580,AT4G34138,AT5G54060,AT3G16520,AT4G01070,AT4G34135,AT4G27560,AT1G06000,AT1G64920,AT3G46670,AT1G30530,AT4G34131,AT4G15280,AT2G15480,AT3G29630,AT3G21750,AT1G01420
23-CIS-FLAVANOLS_BIOSYNTHESIS	2,3-cis-flavanols biosynthesis	AT1G61720
METHYLQUERCETIN_BIOSYNTHESIS	methylquercetin biosynthesis	AT1G33030,AT5G54160
QUERCETINSULPHATES_BIOSYNTHESIS	quercetinsulphates biosynthesis	AT3G45070,AT5G54160
LEUCODELPHINIDIN_BIOSYNTHESIS	leucodelphinidin biosynthesis	AT3G19000,AT5G42800,AT2G38240,AT2G06960,AT4G25310,AT1G17010,AT1G17020,AT4G16330,AT2G36690,AT1G49390,AT4G25300,AT2G45560,AT5G54000,AT3G61880,AT3G19010,AT4G22870,AT3G55970,AT5G24530,AT3G51240,AT4G10500,AT5G07480,AT1G78550,AT5G07990,AT4G10490,AT5G05600,AT5G20400,AT3G60290,AT3G21420,AT3G11180,AT4G27250,AT5G20550
LEUCOPELARGONIDIN_AND_LEUCOCYANIDIN_BIOSYNTHESIS	leucopelargonidin and leucocyanidin biosynthesis	AT5G42800,AT3G19000,AT2G38240,AT2G06960,AT4G25310,AT1G17010,AT1G17020,AT4G16330,AT2G36690,AT1G49390,AT2G45560,AT4G25300,AT5G54000,AT3G61880,AT3G19010,AT4G22870,AT3G55970,AT5G24530,AT3G51240,AT4G10500,AT5G07480,AT5G07990,AT1G78550,AT4G10490,AT5G05600,AT5G20400,AT3G60290,AT3G21420,AT3G11180,AT4G27250,AT5G20550
PROANTHOCYANIDIN_BIOSYNTHESIS_FROM_FLAVANOLS	proanthocyanidin biosynthesis from flavanols	AT4G39230,AT1G75290
CONIFERIN_METABOLISM	coniferin metabolism	AT5G66690,AT4G36770,AT2G18560,AT3G50740,AT5G26310,AT2G18570
MONOLIGNOL_GLUCOSIDES_BIOSYNTHESIS	monolignol glucosides biosynthesis	AT5G66690,AT4G36770,AT2G18560,AT3G50740,AT5G26310,AT2G18570
CAMALEXIN_BIOSYNTHESIS	camalexin biosynthesis	AT5G42590,AT2G22330,AT2G30770,AT4G13310,AT4G39950,AT1G11610,AT5G24950,AT3G26830,AT4G13290,AT2G30750,AT5G24960
LIPID-DEPENDENT_PHYTATE_BIOSYNTHESIS_I_P3)	lipid-dependent phytate biosynthesis I (via Ins(1,4,5)P3)	AT5G61760,AT5G07370,AT5G42810
LIPID-DEPENDENT_PHYTATE_BIOSYNTHESIS_II_P3)	lipid-dependent phytate biosynthesis II (via Ins(1,3,4)P3)	AT5G61760,AT5G07370,AT4G33770,AT5G42810,AT5G16760
GALACTOSYLCYCLITOL_BIOSYNTHESIS	galactosylcyclitol biosynthesis	AT4G01970,AT5G08380
MYO-INOSITOL_BIOSYNTHESIS	myo-inositol biosynthesis	AT1G31190,AT4G39120,AT3G02870,AT4G39800,AT2G22240,AT5G10170
1D-MYO-INOSITOL_HEXAKISPHOSPHATE_BIOSYNTHESIS_III_	1D-myo-inositol hexakisphosphate biosynthesis III (Spirodela polyrrhiza)	AT4G39800,AT5G42810,AT2G22240,AT5G10170,AT5G58730
PHYTOL_SALVAGE_PATHWAY	phytol salvage pathway	AT5G04490
PHYTYL_DIPHOSPHATE_BIOSYNTHESIS	phytyl diphosphate biosynthesis	AT1G74470
MONOTERPENE_BIOSYNTHESIS	monoterpene biosynthesis	AT3G25810,AT3G25830,AT4G16740,AT3G25820,AT2G24210
(E,E)-4,8,12-TRIMETHYLTRIDECA-1,3,7,11-TETRAENE_BIOSYNTHESIS	(E,E)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis	AT3G25180,AT1G61120
