4-HYDROXYPHENYLPYRUVATE_BIOSYNTHESIS	4-hydroxyphenylpyruvate biosynthesis	AT5G51690,AT5G53970,AT1G62960
NICOTIANAMINE_BIOSYNTHESIS	nicotianamine biosynthesis	AT5G04950,AT5G56080,AT1G56430,AT1G09240
CITRULLINE_BIOSYNTHESIS	citrulline biosynthesis	AT4G08870,AT5G46180,AT4G08900,AT3G55610,AT1G75330,AT5G38710,AT3G30775,AT2G39800,AT5G60540
PHENYLALANINE_BIOSYNTHESIS_II	phenylalanine biosynthesis II	AT2G27820,AT3G07630,AT5G10870,AT1G69370,AT5G22630,AT1G11790,AT1G08250,AT3G29200,AT2G22250,AT3G44720
ARGININE_DEGRADATION_VI_	arginine degradation VI (arginase 2 pathway)	AT4G08870,AT5G14800,AT5G46180,AT4G08900
PROLINE_BIOSYNTHESIS_III	proline biosynthesis III	AT5G14800,AT5G46180,AT3G55610,AT2G39800
PROLINE_BIOSYNTHESIS_II_	proline biosynthesis II (from arginine)	AT5G14800,AT5G46180,AT1G75330
SERINE_RACEMIZATION	serine racemization	AT5G16120,AT3G50790,AT5G11650,AT1G18360,AT2G39400,AT4G11640,AT2G47630,AT1G77420,AT1G11090,AT1G73480
SERINE_BIOSYNTHESIS	serine biosynthesis	AT3G19480,AT1G17745,AT1G72190,AT4G35630,AT1G18640,AT2G17630
THREONINE_BIOSYNTHESIS_FROM_HOMOSERINE	threonine biosynthesis from homoserine	AT1G72810,AT2G17265,AT4G29840
TRYPTOPHAN_BIOSYNTHESIS	tryptophan biosynthesis	AT1G25155,AT2G29690,AT1G07780,AT5G17990,AT5G05730,AT3G54640,AT5G54810,AT2G28880,AT3G55870,AT4G27070,AT1G29410,AT5G05590,AT5G57890,AT1G25083,AT5G28237,AT1G24909,AT1G24807,AT1G25220,AT5G48220,PAI4,AT2G04400,AT4G02610
TYROSINE_BIOSYNTHESIS_II	tyrosine biosynthesis II	AT5G10870,AT1G69370,AT1G15710,AT3G29200,AT2G22250,AT5G34930
TYROSINE_BIOSYNTHESIS_I	tyrosine biosynthesis I	AT5G10870,AT1G69370,AT1G62960,AT1G23320,AT1G70560,AT5G51690,AT3G29200
VALINE_BIOSYNTHESIS	valine biosynthesis	AT3G49680,AT3G48560,AT1G10070,AT3G23940,AT3G58610,AT1G10060,AT1G50090,AT5G65780
TRNA_CHARGING_PATHWAY	tRNA charging pathway	AT3G07420,AT4G31180,AT1G68420,AT3G04600,AT4G13780,AT4G33760,AT4G26300,AT1G14610,AT1G66530,AT3G13490,AT5G64050,AT5G56680,AT4G17300,AT2G25840,AT5G38830,AT2G04842,AT1G70980,AT1G18130,AT1G29880,AT1G29870,AT4G39280,AT3G58140,AT3G02760,AT3G16565,AT1G17960,AT5G49030,AT3G11710,AT1G50200,AT4G10320,AT1G72550,AT3G56300,AT5G26710,AT5G03406,AT1G11870,AT3G44740,AT4G04350,AT5G16715,AT5G27470,AT1G09620,AT4G26870,AT2G31170,AT3G46100,AT3G55400,AT1G25350,AT5G26830
ACETALDEHYDE_BIOSYNTHESIS_I	acetaldehyde biosynthesis I	AT5G01320,AT1G32780,AT4G22110,AT1G64710,AT1G22440,AT5G54960,AT4G33070,AT1G77120,AT1G22430,AT5G24760,AT5G01330,AT5G42250
CALVIN-BENSON-BASSHAM_CYCLE	Calvin-Benson-Bassham cycle	AT1G63290,AT1G32060,AT3G55800,AT1G12900,AT5G38430,AT5G64380,AT3G55440,AT1G56190,AT5G61410,ATCG00490,AT2G01140,AT3G01850,AT2G45290,AT2G21330,AT3G60750,AT1G79550,AT3G54050,AT1G71100,AT2G36460,AT2G21170,AT4G26530,AT4G38970,AT3G04790,AT5G38420,AT2G01290,AT1G42970,AT3G12780,AT1G43670,AT3G52930,AT5G38410,AT1G67090,AT1G18270,AT4G26520,AT3G26650,AT5G03690
